step,step_label,expected_refs,top1_past_step,top1_past_label,top1_score,top2_past_step,top2_past_label,top2_score,top3_past_step,top3_past_label,top3_score
1,lift_block,,0,move_to_block,0.9999999950329462,,,,,,
2,move_to_center,,1,lift_block,0.6080748811364174,0,move_to_block,0.3919251138965289,,,
3,place_center,,1,lift_block,0.4057829678058624,2,move_to_center,0.37269527713457745,0,move_to_block,0.22152175630132356
4,rise_for_button,,1,lift_block,0.29812735319137573,2,move_to_center,0.26076527933279675,3,place_center,0.2407930294672648
5,move_over_button,,1,lift_block,0.23041677102446556,3,place_center,0.2182518094778061,4,rise_for_button,0.2154399591187636
6,press_button,,1,lift_block,0.22071970626711845,2,move_to_center,0.18775689726074538,3,place_center,0.16852031027277312
7,rise_over_center,"2,3,6",1,lift_block,0.19943113749225935,6,press_button,0.16356474719941616,4,rise_for_button,0.15755787367622057
8,grasp_block,"3,2,6",6,press_button,0.14166958878437677,1,lift_block,0.14165306588013968,4,rise_for_button,0.1327071413397789
9,lift_block_again,"8,7,3",6,press_button,0.13404387918611368,1,lift_block,0.1293354189644257,3,place_center,0.12773884708682695
10,move_to_initial_slot,"1,0,6",6,press_button,0.11930777815481027,1,lift_block,0.11712976358830929,9,lift_block_again,0.11515827166537444
11,place_at_initial_slot,"0,1,10",1,lift_block,0.10878348474701245,6,press_button,0.10872068939109643,9,lift_block_again,0.10026624488333861
12,,,6,press_button,0.10919820765654246,1,lift_block,0.10335816877583663,9,lift_block_again,0.09804197028279305
13,,,6,press_button,0.1042516902089119,12,,0.09978764069577058,11,place_at_initial_slot,0.09766680685182412
14,,,6,press_button,0.11067515394339959,12,,0.09694318907956283,10,move_to_initial_slot,0.09541714812318484
15,,,6,press_button,0.11253659489254157,12,,0.09981729897360007,11,place_at_initial_slot,0.09895744112630685
16,,,6,press_button,0.11346191447228193,12,,0.10206083084146182,10,move_to_initial_slot,0.0996416552613179
17,,,6,press_button,0.11895698867738247,10,move_to_initial_slot,0.10462250498433907,12,,0.103202560916543
18,,,12,,0.10837819365163644,7,rise_over_center,0.10833736633261044,10,move_to_initial_slot,0.10684134438633919
19,,,10,move_to_initial_slot,0.1146854783097903,12,,0.11425598772863547,11,place_at_initial_slot,0.11267445050179958
20,,,12,,0.11368321689466636,10,move_to_initial_slot,0.11300478130578995,11,place_at_initial_slot,0.1115929838269949
21,,,10,move_to_initial_slot,0.11962426453828812,12,,0.11751075461506844,11,place_at_initial_slot,0.11734384919206302
22,,,12,,0.12271722468237083,11,place_at_initial_slot,0.12045414124925931,13,,0.0971649345010519
23,,,12,,0.13115995563566685,13,,0.10222033473352592,17,,0.0872537891070048
24,,,13,,0.10695672283569972,15,,0.09101834893226624,23,,0.09097378390530746
