close_jar: total=8137 corrupt_like=1698 ratio=0.2087 zero_action=1698
insert_onto_square_peg: total=7993 corrupt_like=1805 ratio=0.2258 zero_action=1805
light_bulb_in: total=12589 corrupt_like=2405 ratio=0.1910 zero_action=2405
meat_off_grill: total=5859 corrupt_like=1288 ratio=0.2198 zero_action=1288
open_drawer: total=3785 corrupt_like=1126 ratio=0.2975 zero_action=1126
place_cups: total=46081 corrupt_like=4283 ratio=0.0929 zero_action=4283
place_shape_in_shape_sorter: total=7223 corrupt_like=1647 ratio=0.2280 zero_action=1647
place_wine_at_rack_location: total=8123 corrupt_like=1936 ratio=0.2383 zero_action=1936
push_buttons: total=4883 corrupt_like=1121 ratio=0.2296 zero_action=1121
put_groceries_in_cupboard: total=8246 corrupt_like=2080 ratio=0.2522 zero_action=2080
put_item_in_drawer: total=31099 corrupt_like=3906 ratio=0.1256 zero_action=4005
put_money_in_safe: total=7937 corrupt_like=1777 ratio=0.2239 zero_action=1777
reach_and_drag: total=8403 corrupt_like=1720 ratio=0.2047 zero_action=1720
slide_block_to_color_target: total=6062 corrupt_like=1540 ratio=0.2540 zero_action=1540
stack_blocks: total=54010 corrupt_like=4773 ratio=0.0884 zero_action=4773
stack_cups: total=17146 corrupt_like=2303 ratio=0.1343 zero_action=2303
sweep_to_dustpan_of_size: total=5435 corrupt_like=1230 ratio=0.2263 zero_action=1230
turn_tap: total=3646 corrupt_like=1442 ratio=0.3955 zero_action=1442
